dataset,source_id,L_j,n_content,mu_unif,mu_mask,Epi_unif,Epi_mask,ratio
factscore_bio,Gerhard Fischer (inventor),21,9,0.306099,0.219712,0.00209044,0.00377959,1.80804
factscore_bio,Katsunosuke Hori,37,22,0.193915,0.264593,0.000833481,0.00112431,1.34893
factscore_bio,Katsunosuke Hori,26,11,0.0714618,0.0907119,0.000645819,0.00179861,2.785
factscore_bio,Katsunosuke Hori,31,12,0.0984823,0.137429,9.93333e-05,0.000255315,2.57029
factscore_bio,Katsunosuke Hori,20,8,0.00285622,0.00452339,1.81363e-06,6.23325e-06,3.43689
factscore_bio,Katsunosuke Hori,24,10,0.0968617,0.0787512,0.00113759,0.000965887,0.849066
factscore_bio,Katsunosuke Hori,32,12,0.195429,0.099947,0.0007426,0.000856124,1.15287
factscore_bio,Katsunosuke Hori,38,14,0.0617596,0.0840361,0.000305032,0.000383339,1.25672
factscore_bio,Katsunosuke Hori,25,15,0.331565,0.437592,0.00152297,0.00247907,1.62779
factscore_bio,Katsunosuke Hori,15,6,0.0206233,0.040919,0.000124972,0.000687688,5.50271
factscore_bio,Katsunosuke Hori,19,6,0.0275528,0.0784231,0.000165931,0.00164839,9.93421
factscore_bio,Katsunosuke Hori,31,13,0.148785,0.223008,0.000451747,0.000997783,2.20872
factscore_bio,Katsunosuke Hori,28,11,0.0686622,0.0751686,0.000451803,0.00112596,2.49215
factscore_bio,Katsunosuke Hori,29,13,0.0361759,0.0427799,0.000183567,0.000337164,1.83673
factscore_bio,Katsunosuke Hori,30,14,0.0996956,0.0601266,0.000708845,0.000487209,0.687327
factscore_bio,Zelma Wilson,22,8,0.0410991,0.054896,0.000295452,0.000687977,2.32855
factscore_bio,Zelma Wilson,28,12,0.0577041,0.0512594,0.000638387,0.000536758,0.840804
factscore_bio,Zelma Wilson,31,9,0.667052,0.391324,0.003388,0.00150763,0.444993
factscore_bio,Zelma Wilson,33,8,0.232938,0.176138,0.00399393,0.00295039,0.738719
factscore_bio,Adil Rami,32,18,0.207314,0.246464,0.00134456,0.00204979,1.52451
factscore_bio,Adil Rami,25,12,0.141272,0.183616,0.000669406,0.00140606,2.10047
factscore_bio,Adil Rami,23,13,0.0524516,0.0552112,0.000367264,0.000482781,1.31454
factscore_bio,Adil Rami,24,9,0.0951485,0.0760274,0.000968764,0.000732878,0.756508
factscore_bio,Adil Rami,36,21,0.142511,0.174462,0.00131678,0.00186312,1.41491
factscore_bio,Adil Rami,32,13,0.19485,0.211384,0.00229186,0.00302934,1.32178
factscore_bio,Adil Rami,29,11,0.0701398,0.113188,0.000476054,0.00133077,2.79541
factscore_bio,Adil Rami,26,13,0.0802074,0.11137,0.000355783,0.000629675,1.76983
factscore_bio,Adil Rami,30,12,0.272866,0.261529,0.000851332,0.000823949,0.967834
factscore_bio,Adil Rami,19,8,0.47573,0.55664,0.00507201,0.00660798,1.30283
factscore_bio,Adil Rami,16,8,0.323826,0.29597,0.00533162,0.00366669,0.687725
factscore_bio,Adil Rami,26,7,0.521196,0.446284,0.00422374,0.0133938,3.17108
factscore_bio,Richard Burkewood Welbourn,21,8,0.0382496,0.0279314,0.000342778,0.000190892,0.556897
factscore_bio,Richard Burkewood Welbourn,31,9,0.0792494,0.053985,0.000965189,0.000666522,0.690561
factscore_bio,Richard Burkewood Welbourn,37,12,0.558176,0.317751,0.00332496,0.00123949,0.372784
factscore_bio,Richard Burkewood Welbourn,37,17,0.0894041,0.0282568,0.000824959,0.000247393,0.299885
factscore_bio,Miguel Díaz (baseball),26,16,0.581847,0.593701,0.0031797,0.00367704,1.15641
factscore_bio,Miguel Díaz (baseball),39,22,0.185431,0.21429,0.00169601,0.00179224,1.05674
factscore_bio,Miguel Díaz (baseball),27,10,0.578862,0.68293,0.00215753,0.00230383,1.06781
factscore_bio,Miguel Díaz (baseball),24,14,0.464071,0.457304,0.00433448,0.00442943,1.02191
factscore_bio,Miguel Díaz (baseball),29,11,0.25809,0.230337,0.00242861,0.00224776,0.925531
factscore_bio,Miguel Díaz (baseball),38,22,0.196142,0.195556,0.00177317,0.0016356,0.922414
factscore_bio,Miguel Díaz (baseball),28,11,0.0151372,0.0112778,5.83187e-05,4.24184e-05,0.727355
factscore_bio,Miguel Díaz (baseball),31,14,0.0703195,0.0952538,0.000343374,0.000595946,1.73556
factscore_bio,Miguel Díaz (baseball),19,8,0.00696226,0.0111398,1.08733e-05,3.53057e-05,3.24701
factscore_bio,Miguel Díaz (baseball),30,13,0.0659333,0.0892289,0.000252885,0.00038356,1.51674
factscore_bio,Miguel Díaz (baseball),36,15,0.019688,0.00992415,6.97446e-05,3.27403e-05,0.469432
factscore_bio,Miguel Díaz (baseball),36,23,0.0848988,0.0766943,0.000784962,0.000504898,0.643214
factscore_bio,Miguel Díaz (baseball),41,21,0.0647364,0.077854,0.000245643,0.00025828,1.05144
factscore_bio,Miguel Díaz (baseball),19,6,0.0179378,0.00704994,5.02645e-05,2.69251e-05,0.535668
factscore_bio,Miguel Díaz (baseball),31,17,0.626836,0.491589,0.00336647,0.00513927,1.52661
factscore_bio,Teresa Palmer,23,12,0.69759,0.689455,0.00141057,0.00185546,1.3154
factscore_bio,Teresa Palmer,28,11,0.59208,0.590318,0.0020144,0.00212421,1.05451
factscore_bio,Teresa Palmer,17,5,0.363242,0.432249,0.00330055,0.00624372,1.89172
factscore_bio,Teresa Palmer,19,8,0.674749,0.752292,0.00318523,0.00310363,0.97438
factscore_bio,Teresa Palmer,29,16,0.488069,0.466561,0.00280225,0.0037881,1.3518
factscore_bio,Teresa Palmer,31,13,0.589363,0.601326,0.00276665,0.00569141,2.05715
factscore_bio,Teresa Palmer,34,15,0.37279,0.243252,0.00188323,0.00239488,1.27169
factscore_bio,Teresa Palmer,22,12,0.368562,0.302967,0.00208223,0.00300621,1.44374
factscore_bio,Teresa Palmer,24,11,0.671331,0.703009,0.0027587,0.00497964,1.80507
factscore_bio,Teresa Palmer,29,16,0.529156,0.384655,0.00243285,0.00322017,1.32362
factscore_bio,Teresa Palmer,18,9,0.443862,0.384649,0.00729507,0.00871619,1.19481
factscore_bio,Teresa Palmer,30,16,0.147105,0.156612,0.00117079,0.00138564,1.1835
factscore_bio,Teresa Palmer,23,7,0.422165,0.498992,0.00294189,0.00321356,1.09235
factscore_bio,Teresa Palmer,31,14,0.401143,0.382914,0.0038967,0.00568621,1.45924
factscore_bio,Teresa Palmer,29,12,0.6073,0.607585,0.00276074,0.00364524,1.32038
